"","Uniprot_accession","Uniprot_name","description","OrganismName","OrganismIdentifier","GeneName","ProteinExistence","SequenceVersion"
"10574","Q5XG73","ACBD5_MOUSE","Acyl-CoA-binding domain-containing protein 5","Mus musculus","10090","Acbd5","1","1"
"10575","Q5XJY6","FANCB_MOUSE","Fanconi anemia group B protein homolog","Mus musculus","10090","Fancb","2","2"
"10576","Q5XPI3","RN123_MOUSE","E3 ubiquitin-protein ligase RNF123","Mus musculus","10090","Rnf123","1","1"
"10577","Q5Y5T3","ZDH23_MOUSE","Palmitoyltransferase ZDHHC23","Mus musculus","10090","Zdhhc23","2","1"
"10578","Q60590","A1AG1_MOUSE","Alpha-1-acid glycoprotein 1","Mus musculus","10090","Orm1","1","1"
"10579","Q60649","CLPB_MOUSE","Caseinolytic peptidase B protein homolog","Mus musculus","10090","Clpb","1","1"
"10580","Q60652","KLRA5_MOUSE","Killer cell lectin-like receptor 5","Mus musculus","10090","Klra5","1","1"
"10581","Q60653","KLRA6_MOUSE","Killer cell lectin-like receptor 6","Mus musculus","10090","Klra6","2","1"
"10582","Q60660","KLRA2_MOUSE","Killer cell lectin-like receptor 2","Mus musculus","10090","Klra2","2","1"
"10583","Q60767","LY75_MOUSE","Lymphocyte antigen 75","Mus musculus","10090","Ly75","1","2"
"10584","Q60850","S23A3_MOUSE","Solute carrier family 23 member 3","Mus musculus","10090","Slc23a3","1","1"
"10585","Q60854","SPB6_MOUSE","Serpin B6","Mus musculus","10090","Serpinb6","1","1"
"10586","Q60899","ELAV2_MOUSE","ELAV-like protein 2","Mus musculus","10090","Elavl2","1","1"
"10587","Q60900","ELAV3_MOUSE","ELAV-like protein 3","Mus musculus","10090","Elavl3","1","1"
"10588","Q60925","DBP_MOUSE","D site-binding protein","Mus musculus","10090","Dbp","1","2"
"10589","Q60990","RBY1B_MOUSE","RNA-binding motif protein, Y chromosome, family 1 member B","Mus musculus","10090","Rbmy1b","2","3"
"10590","Q61011","GBB3_MOUSE","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3","Mus musculus","10090","Gnb3","1","2"
"10591","Q61035","HARS1_MOUSE","Histidine--tRNA ligase, cytoplasmic","Mus musculus","10090","Hars1","1","2"
"10592","Q61041","NPY4R_MOUSE","Neuropeptide Y receptor type 4","Mus musculus","10090","Npy4r","2","2"
"10593","Q61045","SIM1_MOUSE","Single-minded homolog 1","Mus musculus","10090","Sim1","1","3"
"10594","Q61114","BPIB1_MOUSE","BPI fold-containing family B member 1","Mus musculus","10090","Bpifb1","2","4"
"10595","Q61120","SHC3_MOUSE","SHC-transforming protein 3","Mus musculus","10090","Shc3","1","2"
"10596","Q61121","GPR19_MOUSE","Probable G-protein coupled receptor 19","Mus musculus","10090","Gpr19","2","2"
"10597","Q61133","GSTT2_MOUSE","Glutathione S-transferase theta-2","Mus musculus","10090","Gstt2","1","4"
"10598","Q61151","2A5E_MOUSE","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform","Mus musculus","10090","Ppp2r5e","1","3"
"10599","Q61153","IOD1_MOUSE","Type I iodothyronine deiodinase","Mus musculus","10090","Dio1","1","3"
"10600","Q61179","IRF9_MOUSE","Interferon regulatory factor 9","Mus musculus","10090","Irf9","1","1"
"10601","Q61189","ICLN_MOUSE","Methylosome subunit pICln","Mus musculus","10090","Clns1a","1","1"
"10602","Q61190","I10R2_MOUSE","Interleukin-10 receptor subunit beta","Mus musculus","10090","Il10rb","1","1"
"10603","Q61193","RGL2_MOUSE","Ral guanine nucleotide dissociation stimulator-like 2","Mus musculus","10090","Rgl2","1","2"
"10604","Q61211","EIF2D_MOUSE","Eukaryotic translation initiation factor 2D","Mus musculus","10090","Eif2d","1","3"
"10605","Q61212","NPY6R_MOUSE","Neuropeptide Y receptor type 6","Mus musculus","10090","Npy6r","2","1"
"10606","Q61220","NELL2_MOUSE","Protein kinase C-binding protein NELL2","Mus musculus","10090","Nell2","1","3"
"10607","Q61316","HSP74_MOUSE","Heat shock 70 kDa protein 4","Mus musculus","10090","Hspa4","1","1"
"10608","Q61400","CEAMA_MOUSE","Carcinoembryonic antigen-related cell adhesion molecule 10","Mus musculus","10090","Ceacam10","1","1"
"10609","Q61414","K1C15_MOUSE","Keratin, type I cytoskeletal 15","Mus musculus","10090","Krt15","1","2"
"10610","Q61451","CD53_MOUSE","Leukocyte surface antigen CD53","Mus musculus","10090","Cd53","2","2"
"10611","Q61456","CCNA1_MOUSE","Cyclin-A1","Mus musculus","10090","Ccna1","1","2"
"10612","Q61467","ZIC4_MOUSE","Zinc finger protein ZIC 4","Mus musculus","10090","Zic4","1","2"
"10613","Q61470","CD37_MOUSE","Leukocyte antigen CD37","Mus musculus","10090","Cd37","1","1"
"10614","Q61559","FCGRN_MOUSE","IgG receptor FcRn large subunit p51","Mus musculus","10090","Fcgrt","1","1"
"10615","Q61578","ADRO_MOUSE","NADPH:adrenodoxin oxidoreductase, mitochondrial","Mus musculus","10090","Fdxr","1","1"
"10616","Q61581","IBP7_MOUSE","Insulin-like growth factor-binding protein 7","Mus musculus","10090","Igfbp7","1","3"
"10617","Q61597","CRGC_MOUSE","Gamma-crystallin C","Mus musculus","10090","Crygc","1","3"
"10618","Q61599","GDIR2_MOUSE","Rho GDP-dissociation inhibitor 2","Mus musculus","10090","Arhgdib","1","3"
"10619","Q61655","DD19A_MOUSE","ATP-dependent RNA helicase DDX19A","Mus musculus","10090","Ddx19a","1","2"
"10620","Q61702","ITIH1_MOUSE","Inter-alpha-trypsin inhibitor heavy chain H1","Mus musculus","10090","Itih1","1","2"
"10621","Q61703","ITIH2_MOUSE","Inter-alpha-trypsin inhibitor heavy chain H2","Mus musculus","10090","Itih2","1","1"
"10622","Q61704","ITIH3_MOUSE","Inter-alpha-trypsin inhibitor heavy chain H3","Mus musculus","10090","Itih3","1","3"
"10623","Q61711","SIAL_MOUSE","Bone sialoprotein 2","Mus musculus","10090","Ibsp","2","2"
"10624","Q61751","Z354A_MOUSE","Zinc finger protein 354A","Mus musculus","10090","Znf354a","2","2"
"10625","Q61754","K1B24_MOUSE","Kallikrein 1-related peptidase b24","Mus musculus","10090","Klk1b24","2","3"
"10626","Q61792","LASP1_MOUSE","LIM and SH3 domain protein 1","Mus musculus","10090","Lasp1","1","1"
"10627","Q61865","MIA_MOUSE","Melanoma-derived growth regulatory protein","Mus musculus","10090","Mia","2","2"
"10628","Q61878","PRG2_MOUSE","Bone marrow proteoglycan","Mus musculus","10090","Prg2","1","1"
"10629","Q61923","KCNA6_MOUSE","Potassium voltage-gated channel subfamily A member 6","Mus musculus","10090","Kcna6","1","1"
"10630","Q61979","NNAT_MOUSE","Neuronatin","Mus musculus","10090","Nnat","2","2"
"10631","Q61983","NPT1_MOUSE","Sodium-dependent phosphate transport protein 1","Mus musculus","10090","Slc17a1","1","2"
"10632","Q62082","MYL10_MOUSE","Myosin regulatory light chain 10","Mus musculus","10090","Myl10","2","1"
"10633","Q62084","PP14B_MOUSE","Protein phosphatase 1 regulatory subunit 14B","Mus musculus","10090","Ppp1r14b","1","2"
"10634","Q62100","PRM3_MOUSE","Protamine-3","Mus musculus","10090","Prm3","1","2"
"10635","Q62136","PTN21_MOUSE","Tyrosine-protein phosphatase non-receptor type 21","Mus musculus","10090","Ptpn21","1","1"
"10636","Q62160","GDIR3_MOUSE","Rho GDP-dissociation inhibitor 3","Mus musculus","10090","Arhgdig","2","1"
"10637","Q62177","SEM3B_MOUSE","Semaphorin-3B","Mus musculus","10090","Sema3b","2","2"
"10638","Q62189","SNRPA_MOUSE","U1 small nuclear ribonucleoprotein A","Mus musculus","10090","Snrpa","1","3"
"10639","Q62203","SF3A2_MOUSE","Splicing factor 3A subunit 2","Mus musculus","10090","Sf3a2","1","2"
"10640","Q62225","CISH_MOUSE","Cytokine-inducible SH2-containing protein","Mus musculus","10090","Cish","1","1"
"10641","Q62241","RU1C_MOUSE","U1 small nuclear ribonucleoprotein C","Mus musculus","10090","Snrpc","1","1"
"10642","Q62252","SP17_MOUSE","Sperm surface protein Sp17","Mus musculus","10090","Spa17","1","1"
"10643","Q62266","SPR1A_MOUSE","Cornifin-A","Mus musculus","10090","Sprr1a","1","1"
"10644","Q62267","SPR1B_MOUSE","Cornifin-B","Mus musculus","10090","Sprr1b","2","1"
"10645","Q62273","S26A2_MOUSE","Sulfate transporter","Mus musculus","10090","Slc26a2","1","1"
"10646","Q62314","TGON2_MOUSE","Trans-Golgi network integral membrane protein 2","Mus musculus","10090","Tgoln2","1","1"
"10647","Q62377","U2AFM_MOUSE","U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2","Mus musculus","10090","Zrsr2","1","1"
"10648","Q62395","TFF3_MOUSE","Trefoil factor 3","Mus musculus","10090","Tff3","1","2"
"10649","Q62415","ASPP1_MOUSE","Apoptosis-stimulating of p53 protein 1","Mus musculus","10090","Ppp1r13b","1","2"
"10650","Q62426","CYTB_MOUSE","Cystatin-B","Mus musculus","10090","Cstb","1","1"
"10651","Q62443","NPTX1_MOUSE","Neuronal pentraxin-1","Mus musculus","10090","Nptx1","1","1"
"10652","Q62445","SP4_MOUSE","Transcription factor Sp4","Mus musculus","10090","Sp4","2","2"
"10653","Q62446","FKBP3_MOUSE","Peptidyl-prolyl cis-trans isomerase FKBP3","Mus musculus","10090","Fkbp3","1","2"
"10654","Q62447","CCNC_MOUSE","Cyclin-C","Mus musculus","10090","Ccnc","2","4"
"10655","Q62471","VNS1_MOUSE","Vomeronasal secretory protein 1","Mus musculus","10090","Lcn3","2","2"
"10656","Q62507","COCH_MOUSE","Cochlin","Mus musculus","10090","Coch","1","2"
"10657","Q62556","BT1A1_MOUSE","Butyrophilin subfamily 1 member A1","Mus musculus","10090","Btn1a1","1","2"
"10658","Q63871","RPAB4_MOUSE","DNA-directed RNA polymerases I, II, and III subunit RPABC4","Mus musculus","10090","Polr2k","3","2"
"10659","Q63880","EST3A_MOUSE","Carboxylesterase 3A","Mus musculus","10090","Ces3a","1","2"
"10660","Q64016","DFA17_MOUSE","Alpha-defensin 17 (Fragment)","Mus musculus","10090","Defa17","2","1"
"10661","Q640M1","UT14A_MOUSE","U3 small nucleolar RNA-associated protein 14 homolog A","Mus musculus","10090","Utp14a","1","1"
"10662","Q640R3","HECAM_MOUSE","Hepatocyte cell adhesion molecule","Mus musculus","10090","Hepacam","1","2"
"10663","Q64143","P55G_MOUSE","Phosphatidylinositol 3-kinase regulatory subunit gamma","Mus musculus","10090","Pik3r3","1","1"
"10664","Q64152","BTF3_MOUSE","Transcription factor BTF3","Mus musculus","10090","Btf3","1","3"
"10665","Q64263","DAR10_MOUSE","Alpha-defensin-related sequence 10","Mus musculus","10090","Defa-rs10","2","1"
"10666","Q64310","SURF4_MOUSE","Surfeit locus protein 4","Mus musculus","10090","Surf4","1","1"
"10667","Q64311","NTAN1_MOUSE","Protein N-terminal asparagine amidohydrolase","Mus musculus","10090","Ntan1","1","3"
"10668","Q64323","PIGA_MOUSE","Phosphatidylinositol N-acetylglucosaminyltransferase subunit A","Mus musculus","10090","Piga","2","1"
"10669","Q64326","ACTHR_MOUSE","Adrenocorticotropic hormone receptor","Mus musculus","10090","Mc2r","3","1"
"10670","Q64345","IFIT3_MOUSE","Interferon-induced protein with tetratricopeptide repeats 3","Mus musculus","10090","Ifit3","1","1"
"10671","Q64389","CD52_MOUSE","CAMPATH-1 antigen","Mus musculus","10090","Cd52","2","1"
"10672","Q64448","CXA3_MOUSE","Gap junction alpha-3 protein","Mus musculus","10090","Gja3","2","4"
"10673","Q64462","CP4B1_MOUSE","Cytochrome P450 4B1","Mus musculus","10090","Cyp4b1","1","1"
"10674","Q64674","SPEE_MOUSE","Spermidine synthase","Mus musculus","10090","Srm","1","1"
"10675","Q64695","EPCR_MOUSE","Endothelial protein C receptor","Mus musculus","10090","Procr","1","3"
"10676","Q64HY3","SP9_MOUSE","Transcription factor Sp9","Mus musculus","10090","Sp9","1","1"
"10677","Q66JQ7","KNL1_MOUSE","Kinetochore scaffold 1","Mus musculus","10090","Knl1","1","3"
"10678","Q66JS6","EI3JB_MOUSE","Eukaryotic translation initiation factor 3 subunit J-B","Mus musculus","10090","Eif3j2","1","1"
"10679","Q66JT7","COQ2_MOUSE","4-hydroxybenzoate polyprenyltransferase, mitochondrial","Mus musculus","10090","Coq2","1","2"
"10680","Q66JX5","CEP43_MOUSE","Centrosomal protein 43","Mus musculus","10090","Cep43","1","1"
"10681","Q66LM6","F170A_MOUSE","Protein FAM170A","Mus musculus","10090","Fam170a","1","1"
"10682","Q673U1","HS3S2_MOUSE","Heparan sulfate glucosamine 3-O-sulfotransferase 2","Mus musculus","10090","Hs3st2","2","2"
"10683","Q67BJ4","A4GAT_MOUSE","Lactosylceramide 4-alpha-galactosyltransferase","Mus musculus","10090","A4galt","2","1"
"10684","Q68EF0","RAB3I_MOUSE","Rab-3A-interacting protein","Mus musculus","10090","Rab3ip","1","1"
"10685","Q68EF6","BEGIN_MOUSE","Brain-enriched guanylate kinase-associated protein","Mus musculus","10090","Begain","1","2"
"10686","Q68FE8","Z280D_MOUSE","Zinc finger protein 280D","Mus musculus","10090","Znf280d","1","1"
"10687","Q68FF0","SANBR_MOUSE","SANT and BTB domain regulator of class switch recombination","Mus musculus","10090","Sanbr","1","2"
"10688","Q68FF7","SLAI1_MOUSE","SLAIN motif-containing protein 1","Mus musculus","10090","Slain1","1","1"
"10689","Q69AB2","TXND8_MOUSE","Thioredoxin domain-containing protein 8","Mus musculus","10090","Txndc8","1","1"
"10690","Q69Z23","DYH17_MOUSE","Dynein axonemal heavy chain 17","Mus musculus","10090","Dnah17","1","2"
"10691","Q69Z61","PWP2A_MOUSE","PWWP domain-containing protein 2A","Mus musculus","10090","Pwwp2a","2","2"
"10692","Q69Z89","RADIL_MOUSE","Ras-associating and dilute domain-containing protein","Mus musculus","10090","Radil","1","2"
"10693","Q69ZF8","MSL2_MOUSE","E3 ubiquitin-protein ligase MSL2","Mus musculus","10090","Msl2","2","2"
"10694","Q69ZJ7","RIC1_MOUSE","Guanine nucleotide exchange factor subunit RIC1","Mus musculus","10090","Ric1","1","2"
"10695","Q69ZK5","KLH14_MOUSE","Kelch-like protein 14","Mus musculus","10090","Klhl14","1","2"
"10696","Q69ZQ2","ISY1_MOUSE","Pre-mRNA-splicing factor ISY1 homolog","Mus musculus","10090","Isy1","1","2"
"10697","Q69ZS7","HBS1L_MOUSE","HBS1-like protein","Mus musculus","10090","Hbs1l","1","2"
"10698","Q69ZU8","ANKR6_MOUSE","Ankyrin repeat domain-containing protein 6","Mus musculus","10090","Ankrd6","1","2"
"10699","Q69ZZ6","TMCC1_MOUSE","Transmembrane and coiled-coil domains protein 1","Mus musculus","10090","Tmcc1","1","2"
"10700","Q6A0A2","LAR4B_MOUSE","La-related protein 4B","Mus musculus","10090","Larp4b","1","2"
"10701","Q6A0A9","F120A_MOUSE","Constitutive coactivator of PPAR-gamma-like protein 1","Mus musculus","10090","FAM120A","1","2"
"10702","Q6A4L0","S22AD_MOUSE","Solute carrier family 22 member 13","Mus musculus","10090","Slc22a13","1","3"
"10703","Q6AXF6","SIDT1_MOUSE","SID1 transmembrane family member 1","Mus musculus","10090","Sidt1","1","1"
"10704","Q6B9Z0","IGFL_MOUSE","Insulin growth factor-like family member","Mus musculus","10090","Igfl","1","1"
"10705","Q6BCL1","PRAM_MOUSE","PML-RARA-regulated adapter molecule 1","Mus musculus","10090","Pram1","1","2"
"10706","Q6DFX2","ANTR2_MOUSE","Anthrax toxin receptor 2","Mus musculus","10090","Antxr2","1","1"
"10707","Q6DFY8","BRNP2_MOUSE","BMP/retinoic acid-inducible neural-specific protein 2","Mus musculus","10090","Brinp2","1","1"
"10708","Q6DI86","FAKD1_MOUSE","FAST kinase domain-containing protein 1, mitochondrial","Mus musculus","10090","Fastkd1","2","1"
"10709","Q6EJB6","UT14B_MOUSE","U3 small nucleolar RNA-associated protein 14 homolog B","Mus musculus","10090","Utp14b","1","2"
"10710","Q6GQV0","TEDC2_MOUSE","Tubulin epsilon and delta complex protein 2","Mus musculus","10090","Tedc2","1","1"
"10711","Q6GV12","KDSR_MOUSE","3-ketodihydrosphingosine reductase","Mus musculus","10090","Kdsr","1","1"
"10712","Q6IE82","JADE3_MOUSE","Protein Jade-3","Mus musculus","10090","Jade3","1","1"
"10713","Q6IFX3","K1C40_MOUSE","Keratin, type I cytoskeletal 40","Mus musculus","10090","Krt40","2","1"
"10714","Q6IFX4","K1C39_MOUSE","Keratin, type I cytoskeletal 39","Mus musculus","10090","Krt39","2","2"
"10715","Q6IFZ6","K2C1B_MOUSE","Keratin, type II cytoskeletal 1b","Mus musculus","10090","Krt77","1","1"
"10716","Q6IMB1","RSLBA_MOUSE","Ras-like protein family member 11A","Mus musculus","10090","Rasl11a","1","1"
"10717","Q6IME9","K2C72_MOUSE","Keratin, type II cytoskeletal 72","Mus musculus","10090","Krt72","3","1"
"10718","Q6IRU2","TPM4_MOUSE","Tropomyosin alpha-4 chain","Mus musculus","10090","Tpm4","1","3"
"10719","Q6IYF8","OXGR1_MOUSE","2-oxoglutarate receptor 1","Mus musculus","10090","Oxgr1","2","1"
"10720","Q6JPI3","MD13L_MOUSE","Mediator of RNA polymerase II transcription subunit 13-like","Mus musculus","10090","Med13l","1","2"
"10721","Q6KAU4","MB12B_MOUSE","Multivesicular body subunit 12B","Mus musculus","10090","Mvb12b","1","2"
"10722","Q6L8S8","B4GN3_MOUSE","Beta-1,4-N-acetylgalactosaminyltransferase 3","Mus musculus","10090","B4galnt3","2","1"
"10723","Q6NS46","RRP5_MOUSE","Protein RRP5 homolog","Mus musculus","10090","Pdcd11","1","2"
"10724","Q6NS57","MABP1_MOUSE","Mitogen-activated protein kinase-binding protein 1","Mus musculus","10090","Mapkbp1","1","1"
"10725","Q6NS86","ZN366_MOUSE","Zinc finger protein 366","Mus musculus","10090","Znf366","2","1"
"10726","Q6NSV7","F149B_MOUSE","Primary cilium assembly protein FAM149B1","Mus musculus","10090","Fam149b1","2","1"
"10727","Q6NSW3","SPKAP_MOUSE","A-kinase anchor protein SPHKAP","Mus musculus","10090","Sphkap","1","2"
"10728","Q6NT99","DUS23_MOUSE","Dual specificity protein phosphatase 23","Mus musculus","10090","Dusp23","1","1"
"10729","Q6NV83","SR140_MOUSE","U2 snRNP-associated SURP motif-containing protein","Mus musculus","10090","U2surp","1","3"
"10730","Q6NVE8","WDR44_MOUSE","WD repeat-containing protein 44","Mus musculus","10090","Wdr44","1","1"
"10731","Q6NVE9","PPTC7_MOUSE","Protein phosphatase PTC7 homolog","Mus musculus","10090","Pptc7","1","1"
"10732","Q6NWW5","KIF24_MOUSE","Kinesin-like protein KIF24","Mus musculus","10090","Kif24","1","2"
"10733","Q6NXH9","K2C73_MOUSE","Keratin, type II cytoskeletal 73","Mus musculus","10090","Krt73","1","1"
"10734","Q6NXI8","CXXC4_MOUSE","CXXC-type zinc finger protein 4","Mus musculus","10090","Cxxc4","2","1"
"10735","Q6NXK5","DUS11_MOUSE","RNA/RNP complex-1-interacting phosphatase","Mus musculus","10090","Dusp11","2","1"
"10736","Q6NZL6","TONSL_MOUSE","Tonsoku-like protein","Mus musculus","10090","Tonsl","1","2"
"10737","Q6NZL8","SCUB1_MOUSE","Signal peptide, CUB and EGF-like domain-containing protein 1","Mus musculus","10090","Scube1","2","2"
"10738","Q6NZN0","RBM26_MOUSE","RNA-binding protein 26","Mus musculus","10090","Rbm26","1","2"
"10739","Q6NZN1","PPRC1_MOUSE","Peroxisome proliferator-activated receptor gamma coactivator-related protein 1","Mus musculus","10090","Pprc1","1","1"
"10740","Q6NZQ2","DDX31_MOUSE","Probable ATP-dependent RNA helicase DDX31","Mus musculus","10090","Ddx31","2","2"
"10741","Q6P1B1","XPP1_MOUSE","Xaa-Pro aminopeptidase 1","Mus musculus","10090","Xpnpep1","1","1"
"10742","Q6P1B3","PIANP_MOUSE","PILR alpha-associated neural protein","Mus musculus","10090","Pianp","1","1"
"10743","Q6P1C1","IPPK_MOUSE","Inositol-pentakisphosphate 2-kinase","Mus musculus","10090","Ippk","1","1"
"10744","Q6P1E8","EFCB6_MOUSE","EF-hand calcium-binding domain-containing protein 6","Mus musculus","10090","Efcab6","1","2"
"10745","Q6P1F6","2ABA_MOUSE","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform","Mus musculus","10090","Ppp2r2a","1","1"
"10746","Q6P253","DMKN_MOUSE","Dermokine","Mus musculus","10090","Dmkn","2","2"
"10747","Q6P3A8","ODBB_MOUSE","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial","Mus musculus","10090","Bckdhb","1","2"
"10748","Q6P3D7","SPIC_MOUSE","Transcription factor Spi-C","Mus musculus","10090","Spic","1","1"
"10749","Q6P3Y5","Z280C_MOUSE","Zinc finger protein 280C","Mus musculus","10090","Znf280c","1","1"
"10750","Q6P3Z3","THAP4_MOUSE","Peroxynitrite isomerase THAP4","Mus musculus","10090","Thap4","1","1"
"10751","Q6P4S8","INT1_MOUSE","Integrator complex subunit 1","Mus musculus","10090","Ints1","1","2"
"10752","Q6P542","ABCF1_MOUSE","ATP-binding cassette sub-family F member 1","Mus musculus","10090","Abcf1","1","1"
"10753","Q6P5D3","DHX57_MOUSE","Putative ATP-dependent RNA helicase DHX57","Mus musculus","10090","Dhx57","1","2"
"10754","Q6P5D4","CP135_MOUSE","Centrosomal protein of 135 kDa","Mus musculus","10090","Cep135","1","1"
"10755","Q6P5F7","TTYH3_MOUSE","Protein tweety homolog 3","Mus musculus","10090","Ttyh3","1","1"
"10756","Q6P5G6","UBXN7_MOUSE","UBX domain-containing protein 7","Mus musculus","10090","Ubxn7","1","2"
"10757","Q6P6I6","GRL1A_MOUSE","DNA-directed RNA polymerase II subunit GRINL1A","Mus musculus","10090","Polr2m","2","2"
"10758","Q6P6J9","TXD15_MOUSE","Thioredoxin domain-containing protein 15","Mus musculus","10090","Txndc15","1","1"
"10759","Q6P7W5","SEN2_MOUSE","tRNA-splicing endonuclease subunit Sen2","Mus musculus","10090","Tsen2","1","1"
"10760","Q6P8H8","ALG8_MOUSE","Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","Mus musculus","10090","Alg8","2","2"
"10761","Q6P8J2","SAT2_MOUSE","Thialysine N-epsilon-acetyltransferase","Mus musculus","10090","Sat2","1","1"
"10762","Q6P8J7","KCRS_MOUSE","Creatine kinase S-type, mitochondrial","Mus musculus","10090","Ckmt2","1","1"
"10763","Q6P9K8","CSKI1_MOUSE","Caskin-1","Mus musculus","10090","Caskin1","1","2"
"10764","Q6P9L4","UBP49_MOUSE","Ubiquitin carboxyl-terminal hydrolase 49","Mus musculus","10090","Usp49","2","1"
"10765","Q6P9L6","KIF15_MOUSE","Kinesin-like protein KIF15","Mus musculus","10090","Kif15","1","1"
"10766","Q6P9P0","SLF2_MOUSE","SMC5-SMC6 complex localization factor protein 2","Mus musculus","10090","Slf2","2","2"
"10767","Q6P9R1","DDX51_MOUSE","ATP-dependent RNA helicase DDX51","Mus musculus","10090","Ddx51","1","1"
"10768","Q6P9Y7","ZFP82_MOUSE","Zinc finger protein 82","Mus musculus","10090","Zfp82","2","1"
"10769","Q6PAL7","AHDC1_MOUSE","Transcription factor Gibbin","Mus musculus","10090","Ahdc1","1","1"
"10770","Q6PAL8","DEN5A_MOUSE","DENN domain-containing protein 5A","Mus musculus","10090","Dennd5a","1","1"
"10771","Q6PAM0","AAKB2_MOUSE","5'-AMP-activated protein kinase subunit beta-2","Mus musculus","10090","Prkab2","1","1"
"10772","Q6PB70","ANO8_MOUSE","Anoctamin-8","Mus musculus","10090","Ano8","1","3"
"10773","Q6PB97","FXL19_MOUSE","F-box/LRR-repeat protein 19","Mus musculus","10090","Fbxl19","2","1"
"10774","Q6PCL9","PAPOG_MOUSE","Poly(A) polymerase gamma","Mus musculus","10090","Papolg","1","1"
"10775","Q6PCM2","INT6_MOUSE","Integrator complex subunit 6","Mus musculus","10090","Ints6","1","1"
"10776","Q6PCP7","GP156_MOUSE","Probable G-protein coupled receptor 156","Mus musculus","10090","Gpr156","2","2"
"10777","Q6PCQ0","IQCE_MOUSE","IQ domain-containing protein E","Mus musculus","10090","Iqce","1","1"
"10778","Q6PCZ4","MAGE1_MOUSE","Melanoma-associated antigen E1","Mus musculus","10090","Magee1","1","1"
"10779","Q6PD28","2A5B_MOUSE","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform","Mus musculus","10090","Ppp2r5b","1","1"
"10780","Q6PD29","ZN513_MOUSE","Zinc finger protein 513","Mus musculus","10090","Znf513","1","2"
"10781","Q6PDD0","UD2A2_MOUSE","UDP-glucuronosyltransferase 2A2","Mus musculus","10090","Ugt2a2","2","1"
"10782","Q6PDH4","RNB3L_MOUSE","Ran-binding protein 3-like","Mus musculus","10090","Ranbp3l","1","1"
"10783","Q6PDI6","MINY2_MOUSE","Ubiquitin carboxyl-terminal hydrolase MINDY-2","Mus musculus","10090","Mindy2","1","1"
"10784","Q6PDK8","DTX4_MOUSE","E3 ubiquitin-protein ligase DTX4","Mus musculus","10090","Dtx4","1","2"
"10785","Q6PDL0","DC1L2_MOUSE","Cytoplasmic dynein 1 light intermediate chain 2","Mus musculus","10090","Dync1li2","1","2"
"10786","Q6PDY0","CC85B_MOUSE","Coiled-coil domain-containing protein 85B","Mus musculus","10090","Ccdc85b","1","1"
"10787","Q6PEB4","OSGL1_MOUSE","tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","Mus musculus","10090","Osgepl1","1","2"
"10788","Q6PFE7","TEFF1_MOUSE","Tomoregulin-1","Mus musculus","10090","Tmeff1","2","1"
"10789","Q6PFQ7","RASL2_MOUSE","Ras GTPase-activating protein 4","Mus musculus","10090","Rasa4","1","1"
"10790","Q6PFX2","BEND6_MOUSE","BEN domain-containing protein 6","Mus musculus","10090","Bend6","1","1"
"10791","Q6PFX6","CAD24_MOUSE","Cadherin-24","Mus musculus","10090","Cdh24","2","1"
"10792","Q6PFX8","RIMKA_MOUSE","N-acetylaspartylglutamate synthase A","Mus musculus","10090","Rimkla","1","1"
"10793","Q6PFY8","TRI45_MOUSE","Tripartite motif-containing protein 45","Mus musculus","10090","Trim45","2","2"
"10794","Q6PG16","HJURP_MOUSE","Holliday junction recognition protein","Mus musculus","10090","Hjurp","1","1"
"10795","Q6PGA0","RCOR3_MOUSE","REST corepressor 3","Mus musculus","10090","Rcor3","1","2"
"10796","Q6PGC1","DHX29_MOUSE","ATP-dependent RNA helicase DHX29","Mus musculus","10090","Dhx29","1","1"
"10797","Q6PGD0","ARAID_MOUSE","All-trans retinoic acid-induced differentiation factor","Mus musculus","10090","Atraid","2","2"
"10798","Q6PGE7","SC6A7_MOUSE","Sodium-dependent proline transporter","Mus musculus","10090","Slc6a7","1","1"
"10799","Q6PGF2","MORN4_MOUSE","MORN repeat-containing protein 4","Mus musculus","10090","Morn4","1","1"
"10800","Q6PGF3","MED16_MOUSE","Mediator of RNA polymerase II transcription subunit 16","Mus musculus","10090","Med16","1","2"
"10801","Q6PGF7","EXOC8_MOUSE","Exocyst complex component 8","Mus musculus","10090","Exoc8","1","1"
"10802","Q6PHB0","I20RA_MOUSE","Interleukin-20 receptor subunit alpha","Mus musculus","10090","Il20ra","2","2"
"10803","Q6QD59","SEC20_MOUSE","Vesicle transport protein SEC20","Mus musculus","10090","Bnip1","1","1"
"10804","Q6R653","UN5CL_MOUSE","UNC5C-like protein","Mus musculus","10090","Unc5cl","2","2"
"10805","Q6RFH4","GCSAM_MOUSE","Germinal center-associated signaling and motility protein","Mus musculus","10090","Gcsam","1","1"
